Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
37	 0,00775	37	  -92,27	37	     0,5	
37,25	  0,0077	37,25	  -156,3	37,25	     0,3	
37,5	 0,00519	37,5	   93,85	37,5	     0,2	
37,75	 0,00386	37,75	   60,74	37,75	     0,1	
38	 0,00504	38	  -115,1	38	     0,3	
38,25	 0,00864	38,25	  -151,3	38,25	     0,4	
38,5	  0,0101	38,5	   133,4	38,5	     0,4	
38,75	 0,00706	38,75	   89,32	38,75	     0,2	
39	 0,00555	39	    32,6	39	     0,2	
39,25	 0,00511	39,25	  -95,35	39,25	     0,3	
39,5	 0,00963	39,5	     159	39,5	     0,5	
39,75	 0,00862	39,75	   86,06	39,75	     0,3	
40	 0,00928	40	   39,99	40	     0,3	
40,25	  0,0079	40,25	  -51,13	40,25	     0,4	
40,5	 0,00764	40,5	  -156,5	40,5	     0,3	
40,75	  0,0117	40,75	   102,2	40,75	     0,4	
41	  0,0114	41	   41,06	41	     0,3	
41,25	  0,0114	41,25	  -30,95	41,25	     0,4	
41,5	 0,00935	41,5	  -121,1	41,5	     0,3	
41,75	  0,0083	41,75	   144,4	41,75	     0,2	
42	 0,00957	42	   53,38	42	     0,3	
42,25	 0,00904	42,25	   3,233	42,25	     0,3	
42,5	  0,0112	42,5	  -91,59	42,5	     0,5	
42,75	 0,00795	42,75	  -177,8	42,75	     0,2	
43	 0,00925	43	   71,39	43	     0,3	
43,25	 0,00856	43,25	   1,834	43,25	     0,3	
43,5	 0,00862	43,5	  -77,41	43,5	     0,3	
43,75	  0,0112	43,75	  -122,9	43,75	     0,4	
44	 0,00769	44	   157,2	44	     0,2	
44,25	 0,00571	44,25	   46,21	44,25	     0,2	
44,5	 0,00571	44,5	  -72,97	44,5	     0,2	
44,75	  0,0129	44,75	  -132,1	44,75	     0,5	
45	  0,0131	45	   173,9	45	     0,5	
45,25	  0,0106	45,25	   100,8	45,25	     0,4	
45,5	  0,0024	45,5	   48,77	45,5	       0	
45,75	 0,00534	45,75	  -132,2	45,75	     0,1	
46	   0,011	46	  -179,4	46	     0,3	
46,25	  0,0151	46,25	   111,5	46,25	     0,5	
46,5	  0,0112	46,5	   55,54	46,5	     0,5	
46,75	 0,00338	46,75	  -73,15	46,75	     0,1	
47	 0,00564	47	  -159,7	47	     0,1	
47,25	  0,0108	47,25	   122,7	47,25	     0,3	
47,5	  0,0105	47,5	    65,1	47,5	     0,4	
47,75	 0,00762	47,75	  -15,42	47,75	     0,5	
48	 0,00275	48	  -121,8	48	     0,1	
48,25	 0,00799	48,25	   158,7	48,25	     0,2	
48,5	 0,00857	48,5	   96,28	48,5	     0,3	
48,75	 0,00858	48,75	   14,31	48,75	     0,5	
49	 0,00346	49	  -85,99	49	     0,1	
49,25	 0,00575	49,25	   162,8	49,25	     0,2	
49,5	 0,00968	49,5	   117,1	49,5	     0,3	
49,75	 0,00868	49,75	   51,02	49,75	     0,5	
50	 0,00505	50	   -31,4	50	     0,2	
50,25	 0,00228	50,25	  -119,2	50,25	       0	
50,5	 0,00571	50,5	   128,2	50,5	     0,2	
50,75	  0,0103	50,75	   68,72	50,75	     0,6	
51	 0,00668	51	   -6,46	51	     0,3	
51,25	 0,00287	51,25	  -73,14	51,25	     0,1	
51,5	  0,0016	51,5	   143,8	51,5	       0	
51,75	  0,0053	51,75	   99,14	51,75	     0,4	
52	 0,00727	52	   33,34	52	     0,5	
52,25	  0,0049	52,25	  -27,37	52,25	     0,4	
52,5	 0,00119	52,5	  -141,6	52,5	       0	
52,75	0,000556	52,75	   91,99	52,75	       0	
53	 0,00523	53	   29,94	53	     0,4	
53,25	 0,00499	53,25	  -21,74	53,25	     0,5	
53,5	 0,00441	53,5	  -96,82	53,5	     0,4	
53,75	 0,00214	53,75	    -115	53,75	       0	
54	 0,00413	54	     126	54	     0,2	
54,25	 0,00614	54,25	   23,41	54,25	     0,5	
54,5	 0,00498	54,5	  -43,97	54,5	     0,4	
54,75	 0,00451	54,75	  -136,2	54,75	     0,2	
55	  0,0035	55	  -177,3	55	     0,1	
55,25	  0,0054	55,25	   66,01	55,25	     0,3	
55,5	 0,00526	55,5	   12,72	55,5	     0,4	
55,75	 0,00344	55,75	  -114,4	55,75	     0,2	
56	 0,00412	56	  -134,3	56	     0,2	
56,25	 0,00256	56,25	   89,28	56,25	     0,1	
56,5	 0,00635	56,5	   24,04	56,5	     0,5	
56,75	  0,0036	56,75	  -84,78	56,75	     0,2	
57	 0,00446	57	  -152,8	57	     0,2	
57,25	 0,00306	57,25	  -157,4	57,25	     0,1	
57,5	 0,00245	57,5	   10,89	57,5	     0,1	
57,75	 0,00377	57,75	  -61,91	57,75	     0,5	
58	  0,0055	58	  -164,1	58	     0,4	
58,25	 0,00607	58,25	  -163,5	58,25	     0,5	
58,5	  0,0031	58,5	   137,8	58,5	     0,1	
58,75	 0,00296	58,75	   64,05	58,75	     0,2	
59	   0,002	59	  -127,2	59	     0,2	
59,25	 0,00297	59,25	  -148,8	59,25	     0,2	
59,5	 0,00327	59,5	   167,2	59,5	     0,2	
59,75	 0,00516	59,75	   112,9	59,75	     0,3	
60	 0,00192	60	   12,18	60	     0,2	
60,25	 0,00452	60,25	  -95,17	60,25	     0,2	
60,5	  0,0058	60,5	   179,6	60,5	     0,3	
60,75	 0,00707	60,75	   112,4	60,75	     0,3	
61	 0,00431	61	   45,04	61	     0,2	
61,25	 0,00591	61,25	  -55,98	61,25	     0,3	
61,5	 0,00481	61,5	  -154,8	61,5	     0,2	
61,75	 0,00691	61,75	   133,7	61,75	     0,3	
62	 0,00661	62	   70,68	62	     0,3	
62,25	 0,00823	62,25	   -28,2	62,25	     0,4	
62,5	 0,00563	62,5	  -128,7	62,5	     0,2	
62,75	 0,00604	62,75	     133	62,75	     0,2	
63	  0,0066	63	   61,42	63	     0,3	
63,25	 0,00772	63,25	  -21,28	63,25	     0,4	
63,5	 0,00858	63,5	  -93,64	63,5	     0,4	
63,75	 0,00573	63,75	  -179,3	63,75	     0,2	
64	 0,00427	64	     121	64	     0,2	
64,25	  0,0054	64,25	  -1,729	64,25	     0,3	
64,5	 0,00722	64,5	   -74,5	64,5	     0,4	
64,75	 0,00633	64,75	    -161	64,75	     0,4	
65	 0,00591	65	     117	65	     0,3	
65,25	 0,00531	65,25	   50,31	65,25	     0,4	
65,5	 0,00514	65,5	   -52,9	65,5	     0,2	
65,75	 0,00382	65,75	  -102,3	65,75	     0,2	
66	   0,005	66	   129,1	66	     0,2	
66,25	 0,00513	66,25	   67,83	66,25	     0,5	
66,5	 0,00627	66,5	  -17,63	66,5	     0,4	
66,75	 0,00438	66,75	  -77,25	66,75	     0,2	
67	 0,00332	67	  -167,4	67	     0,1	
67,25	 0,00387	67,25	   83,94	67,25	     0,2	
67,5	 0,00635	67,5	    2,59	67,5	     0,7	
67,75	 0,00648	67,75	  -48,26	67,75	     0,4	
68	  0,0046	68	  -114,4	68	     0,2	
68,25	 0,00407	68,25	     161	68,25	     0,2	
68,5	 0,00462	68,5	   17,21	68,5	     0,4	
68,75	 0,00736	68,75	  -42,72	68,75	     0,5	
69	 0,00626	69	  -118,4	69	     0,4	
69,25	 0,00707	69,25	   170,7	69,25	     0,4	
69,5	 0,00362	69,5	   61,64	69,5	     0,1	
69,75	 0,00472	69,75	  -34,87	69,75	     0,3	
70	 0,00651	70	  -85,93	70	     0,4	
70,25	  0,0051	70,25	  -172,3	70,25	     0,2	
70,5	 0,00509	70,5	   130,7	70,5	     0,3	
70,75	 0,00534	70,75	  -31,48	70,75	     0,4	
71	  0,0073	71	  -93,45	71	     0,5	
71,25	  0,0072	71,25	  -178,4	71,25	     0,3	
71,5	 0,00658	71,5	     141	71,5	     0,3	
71,75	 0,00314	71,75	   47,75	71,75	     0,3	
72	 0,00369	72	  -91,03	72	     0,2	
72,25	   0,005	72,25	  -179,6	72,25	     0,3	
72,5	 0,00822	72,5	   130,5	72,5	     0,4	
72,75	 0,00291	72,75	   67,54	72,75	     0,2	
73	 0,00311	73	  -34,44	73	     0,2	
73,25	 0,00181	73,25	  -178,1	73,25	     0,1	
73,5	   0,007	73,5	   140,9	73,5	     0,4	
73,75	 0,00325	73,75	    78,5	73,75	     0,2	
74	 0,00373	74	   16,74	74	     0,3	
74,25	 0,00194	74,25	  -102,3	74,25	     0,1	
74,5	 0,00511	74,5	   165,4	74,5	     0,2	
74,75	 0,00516	74,75	   94,95	74,75	     0,4	
75	 0,00506	75	   25,63	75	     0,4	
75,25	 0,00426	75,25	  -71,02	75,25	     0,5	
